date,level_0,level_1,level_2,vote yes,vote no,chainlink,scalar,normalized_yes,normalized_no,yes_rolling,no_rolling,odds,odds_rolling
2017-09-10,2017,9,10,1018,1046,1646,24,1075290.193904555,1083027.9653640236,1062571.1069349458,1086952.5282661319,0.49820745346874834,0.41704491436068036
2017-09-11,2017,9,11,703,711,1671,24,874812.966968462,890869.4133484863,840092.0286739955,908788.1382496724,0.49545318949800526,0.44321880730282237
2017-09-12,2017,9,12,594,596,1696,24,805913.623489417,851631.8192423127,870500.5080220728,887164.4811318773,0.4862090671621197,0.46510476892482977
2017-09-13,2017,9,13,591,684,1722,24,1231401.061568047,1403741.2471966187,1106853.0072162775,1203856.4396877016,0.4672996435419529,0.4661424470454409
2017-09-14,2017,9,14,680,1034,1744,24,1598671.8785485588,2505673.3327879766,1573339.1808183223,2343065.5910955286,0.3895071677043386,0.4568023282497172
2017-09-15,2017,9,15,548,698,1769,24,1538897.1839614771,1981416.2613226203,1512584.404232968,2111410.083662394,0.4371477733106475,0.4561009469283267
2017-09-16,2017,9,16,397,481,1788,24,1408053.1415912493,1701265.2087018958,1412332.5771597195,1682432.3770689669,0.45284946183091823,0.46095339378810435
2017-09-17,2017,9,17,573,1353,1823,24,2209383.4805604015,5216921.20278922,2103991.1330293072,4690602.101399178,0.2975077881619938,0.4322820130299966
2017-09-18,2017,9,18,600,1013,1837,24,2294274.4288266543,3877401.6213029297,2249932.526511742,3989541.649621079,0.37174252345576086,0.4146090607382474
2017-09-19,2017,9,19,497,899,1862,24,1900516.2979770948,3440664.3167367,1959672.3156615798,3273795.515618861,0.3558232598878204,0.395982516841919
2017-09-20,2017,9,20,359,511,1901,24,1382722.6246514374,1959971.1208847624,1329757.519722601,2351391.3295635586,0.41365519246204097,0.388319023830503
2017-09-21,2017,9,21,586,660,1917,24,2338163.3035025494,2631673.316622015,2232206.590433185,2639211.5644380036,0.4704708589482657,0.39988526543677827
2017-09-22,2017,9,22,297,360,1938,24,1164227.992653618,1423527.2319618687,1648654.1194817629,1903518.1674249512,0.44989880865823006,0.40170684191500433
