date,chainlink,isPartial,no_rolling,normalized_no,normalized_yes,scalar,vote no,vote yes,yes_rolling
2017-08-01 02:00:00,29,False,2519.1422857573657,1162.4980466729621,0.0,1,11,0,220.12931235926342
2017-08-01 03:00:00,28,False,2616.017122980112,1162.4980466729621,1162.4980466729621,1,11,11,317.00414958201026
2017-08-01 04:00:00,30,False,2800.8941311959,2218.524098589455,0.0,1,21,0,317.00414958201026
2017-08-01 05:00:00,28,False,1981.355559890464,634.0898436397974,0.0,1,6,0,317.00414958201026
2017-08-01 06:00:00,30,False,1215.298890609952,1162.0840516420956,633.8640281684159,1,11,6,369.8261519293783
2017-08-01 07:00:00,30,False,1320.942895304688,1267.7280563368317,0.0,1,12,0,369.8261519293783
2017-08-01 08:00:00,30,False,1373.7648976520559,633.8640281684159,0.0,1,6,0,369.8261519293783
2017-08-01 09:00:00,31,False,1302.657935949035,626.259428056607,626.259428056607,1,7,7,422.0144376007622
2017-08-01 10:00:00,26,False,1511.2703991598235,2503.349558529464,0.0,1,22,0,422.0144376007622
2017-08-01 11:00:00,26,False,1348.0730308608538,682.7316977807629,0.0,1,6,0,307.5667658481316
2017-08-01 12:00:00,30,False,1295.2322105575374,0.0,0.0,1,0,0,201.88512524149868
2017-08-01 13:00:00,30,False,1004.4689046741127,0.0,0.0,1,0,0,201.88512524149868
2017-08-01 14:00:00,27,False,907.5940674513658,0.0,2503.349558529464,1,0,22,410.49758845228735
2017-08-01 15:00:00,29,False,810.719230228619,0.0,0.0,1,0,0,313.6227512295405
2017-08-01 16:00:00,27,False,625.8422220128311,0.0,0.0,1,0,0,313.6227512295405
2017-08-01 17:00:00,31,False,573.0014017095147,0.0,0.0,1,0,0,313.6227512295405
2017-08-01 18:00:00,31,False,476.16106407267335,0.0,0.0,1,0,0,260.8007488821725
2017-08-01 19:00:00,30,False,370.5170593779374,0.0,0.0,1,0,0,260.8007488821725
2017-08-01 20:00:00,30,False,537.7867334779361,2641.1001173683994,2641.1001173683994,1,25,25,480.8924253295392
2017-08-01 21:00:00,29,False,485.5984478065522,0.0,1373.8613278862279,1,0,13,543.1925836486743
2017-08-01 22:00:00,30,False,505.8813281010248,2746.7441220631354,950.7960422526237,1,26,9,622.4255871697262
2017-08-01 23:00:00,31,False,605.5518769667796,1878.778284169821,626.259428056607,1,21,7,674.6138728411102
2017-08-02 00:00:00,27,False,852.0938789431663,2958.5040237166395,1137.8861629679382,1,26,10,769.4377197551049
2017-08-02 01:00:00,28,False,896.1278958625967,528.4082030331646,0.0,1,5,0,769.4377197551049
2017-08-02 02:00:00,28,False,1037.036750004774,1690.9062497061266,528.4082030331646,1,16,5,604.8592734637467
2017-08-02 03:00:00,31,False,1133.9578519659153,1163.0532235336987,1163.0532235336987,1,13,13,701.7803754248883
2017-08-02 04:00:00,29,False,1266.0599027242065,1585.2246090994936,528.4082030331646,1,15,5,745.8143923443187
2017-08-02 05:00:00,30,False,1415.722242708416,1795.9480798105114,0.0,1,17,0,745.8143923443187
2017-08-02 06:00:00,32,False,1560.3663817083223,1735.7296679988751,0.0,1,18,0,745.8143923443187
2017-08-02 07:00:00,32,False,1825.5473032081502,3182.1710579979376,0.0,1,33,0,745.8143923443187
2017-08-02 08:00:00,31,False,1717.2876674851777,1341.9844886927292,0.0,1,15,0,525.7227158969521
2017-08-02 09:00:00,28,False,2148.8210332955955,5178.400389725012,0.0,1,49,0,411.2342719064331
2017-08-02 10:00:00,30,False,2131.2136991798056,2535.4561126736635,0.0,1,24,0,332.0012683853811
2017-08-02 11:00:00,30,False,2141.9185162656527,2007.2360891999833,0.0,1,19,0,279.81298271399714
2017-08-02 12:00:00,27,False,2037.6122846602584,1706.8292444519072,0.0,1,15,0,184.9891358000023
2017-08-02 13:00:00,29,False,2319.429992944613,3910.220702445418,0.0,1,37,0,184.9891358000023
2017-08-02 14:00:00,31,False,2558.7500772653757,4562.74726155528,0.0,1,51,0,140.95511888057192
2017-08-02 15:00:00,28,False,2461.828975304234,0.0,0.0,1,0,0,44.03401691943035
2017-08-02 16:00:00,32,False,2329.7269245459433,0.0,0.0,1,0,0,0.0
2017-08-02 17:00:00,30,False,2180.064584561734,0.0,0.0,1,0,0,0.0
2017-08-02 18:00:00,31,False,2035.4204455618276,0.0,0.0,1,0,0,0.0
2017-08-02 19:00:00,28,False,2237.000103407962,5601.126952151544,0.0,1,53,0,0.0
2017-08-02 20:00:00,29,False,2125.1680626835678,0.0,0.0,1,0,0,0.0
2017-08-02 21:00:00,32,False,1918.6366908730042,2700.02392799825,0.0,1,28,0,0.0
2017-08-02 22:00:00,31,False,2080.122150564846,4473.281628975765,894.6563257951528,1,50,10,74.55469381626271
2017-08-02 23:00:00,28,False,2071.3749373747964,1902.2695309193923,1268.1796872795949,1,18,12,180.23633442289562
2017-08-03 00:00:00,31,False,2175.169656597471,2952.3658751240046,0.0,1,33,0,180.23633442289562
2017-08-03 01:00:00,29,False,1946.1927686164333,1162.4980466729621,2324.9960933459242,1,11,22,373.9860088683893
2017-08-03 02:00:00,29,False,1662.83866737624,1162.4980466729621,1690.9062497061266,1,11,16,514.8948630105666
2017-08-03 03:00:00,31,False,1811.9480550087656,1789.3126515903057,626.259428056607,1,20,7,567.0831486819505
2017-08-03 04:00:00,31,False,2043.06760583918,2773.434609964974,0.0,1,31,0,567.0831486819505
2017-08-03 05:00:00,33,False,2163.5079099299433,1445.2836490891561,0.0,1,3,0,567.0831486819505
2017-08-03 06:00:00,30,False,2216.329912277311,633.8640281684159,2324.168103284191,1,6,22,760.7638239556331
2017-08-03 07:00:00,31,False,1853.945904274117,1252.518856113214,626.259428056607,1,14,7,812.952109627017
2017-08-03 08:00:00,28,False,1906.7867245774335,634.0898436397974,634.0898436397974,1,6,6,865.7929299303336
2017-08-03 09:00:00,29,False,1734.625550880896,634.0898436397974,0.0,1,6,0,865.7929299303336
2017-08-03 10:00:00,31,False,1518.416938813734,1878.778284169821,626.259428056607,1,21,7,843.4265217854546
2017-08-03 11:00:00,29,False,1359.8944779037847,0.0,0.0,1,0,0,737.7448811788217
2017-08-03 12:00:00,31,False,1113.8639883101177,0.0,894.6563257951528,1,0,10,812.2995749950845
2017-08-03 13:00:00,32,False,1121.4543625873032,1253.5825379991875,1253.5825379991875,1,13,13,723.015112049523
2017-08-03 14:00:00,32,False,1209.4025918644365,2217.876797998563,2217.876797998563,1,23,23,766.9293244072261
2017-08-03 15:00:00,31,False,1060.293204231911,0.0,0.0,1,0,0,714.7410387358423
2017-08-03 16:00:00,31,False,829.1736534014966,0.0,0.0,1,0,0,714.7410387358423
2017-08-03 17:00:00,33,False,708.7333493107335,0.0,0.0,1,0,0,714.7410387358423
2017-08-03 18:00:00,29,False,655.9113469633655,0.0,0.0,1,0,0,521.0603634621597
2017-08-03 19:00:00,29,False,551.5347756205978,0.0,0.0,1,0,0,468.8720777907757
2017-08-03 20:00:00,33,False,498.6939553172813,0.0,0.0,1,0,0,416.03125748745924
2017-08-03 21:00:00,31,False,445.85313501396485,0.0,0.0,1,0,0,416.03125748745924
2017-08-03 22:00:00,29,False,447.81073890976245,1902.2695309193923,951.1347654596962,1,18,9,443.1042022710499
2017-08-03 23:00:00,33,False,487.9575069400168,481.76121636305203,481.76121636305203,1,1,1,483.2509703013043
2017-08-04 00:00:00,29,False,646.4799678499661,1902.2695309193923,634.0898436397974,1,18,6,461.537096788358
2017-08-04 01:00:00,34,False,653.6635159874469,1339.7851156489567,0.0,1,1,0,357.0718852884257
2017-08-04 02:00:00,33,False,468.84044948756673,0.0,1445.2836490891561,1,0,3,292.68912287930846
2017-08-04 03:00:00,32,False,621.5203739874678,1832.1590939988128,0.0,1,19,0,292.68912287930846
2017-08-04 04:00:00,34,False,733.1691336248808,1339.7851156489567,0.0,1,1,0,292.68912287930846
2017-08-04 05:00:00,29,False,786.0099539281973,634.0898436397974,1268.1796872795949,1,6,12,398.3707634859414
2017-08-04 06:00:00,32,False,890.4751654281296,1253.5825379991875,0.0,1,13,0,398.3707634859414
2017-08-04 07:00:00,29,False,1004.9636094186486,1373.8613278862279,0.0,1,13,0,398.3707634859414
2017-08-04 08:00:00,31,False,1124.251119524669,1431.4501212722446,715.7250606361223,1,16,8,458.01451853895156
2017-08-04 09:00:00,30,False,1124.251119524669,0.0,0.0,1,0,0,458.01451853895156
2017-08-04 10:00:00,29,False,1080.2171026052386,1373.8613278862279,0.0,1,13,0,378.7532880839769
2017-08-04 11:00:00,32,False,1104.3566185749426,771.4354079995001,0.0,1,8,0,338.60652005372253
2017-08-04 12:00:00,33,False,1106.4212297860104,1927.0448654522081,963.5224327261041,1,4,2,366.05923581091474
2017-08-04 13:00:00,32,False,994.7724701485973,0.0,0.0,1,0,0,366.05923581091474
2017-08-04 14:00:00,32,False,994.7724701485973,0.0,4050.035891997375,1,0,42,583.121922719933
2017-08-04 15:00:00,34,False,1177.0388245609354,4019.3553469468698,0.0,1,3,0,583.121922719933
2017-08-04 16:00:00,30,False,1065.3900649235225,0.0,0.0,1,0,0,583.121922719933
2017-08-04 17:00:00,30,False,1012.5492446202061,0.0,0.0,1,0,0,477.4402821133001
2017-08-04 18:00:00,30,False,1656.3957330413202,8979.740399052558,0.0,1,85,0,477.4402821133001
2017-08-04 19:00:00,31,False,1541.9072890508012,0.0,0.0,1,0,0,477.4402821133001
2017-08-04 20:00:00,31,False,1422.6197789447806,0.0,0.0,1,0,0,417.7965270602899
2017-08-04 21:00:00,30,False,1572.2821189289898,1795.9480798105114,0.0,1,17,0,417.7965270602899
2017-08-04 22:00:00,32,False,1457.7936749384708,0.0,2314.3062239985,1,0,24,610.6553790601649
2017-08-04 23:00:00,31,False,1393.5073909385126,0.0,0.0,1,0,0,610.6553790601649
2017-08-05 00:00:00,33,False,1393.5073909385126,1927.0448654522081,0.0,1,4,0,530.3618429996562
2017-08-05 01:00:00,31,False,1393.5073909385126,0.0,0.0,1,0,0,530.3618429996562
2017-08-05 02:00:00,30,False,1789.6724085437725,4753.980211263119,739.5080328631518,1,45,7,254.48452140513768
2017-08-05 03:00:00,31,False,1454.726129631533,0.0,0.0,1,0,0,254.48452140513768
2017-08-05 04:00:00,31,False,1581.4691091191798,1520.91575385176,805.1906932156376,1,17,9,321.58374583977417
2017-08-05 05:00:00,33,False,1701.9094132099428,1445.2836490891561,0.0,1,3,0,321.58374583977417
2017-08-05 06:00:00,31,False,1072.885223394917,1431.4501212722446,715.7250606361223,1,16,8,381.22750089278435
2017-08-05 07:00:00,30,False,1134.5108928001796,739.5080328631518,739.5080328631518,1,7,7,442.853170298047
2017-08-05 08:00:00,35,False,1246.1596524375925,1339.7851156489567,1339.7851156489567,1,1,1,554.5019299354601
2017-08-05 09:00:00,33,False,1096.4973124533833,0.0,0.0,1,0,0,554.5019299354601
2017-08-05 10:00:00,34,False,1208.1460720907962,1339.7851156489567,0.0,1,1,0,361.6430779355851
2017-08-05 11:00:00,32,False,1208.1460720907962,0.0,0.0,1,0,0,361.6430779355851
2017-08-05 12:00:00,32,False,1280.5967794696278,2796.4533539981876,0.0,1,29,0,361.6430779355851
2017-08-05 13:00:00,33,False,1401.0370835603908,1445.2836490891561,0.0,1,3,0,361.6430779355851
2017-08-05 14:00:00,32,False,1165.5877759550267,1928.5885199987501,0.0,1,20,0,300.0174085303224
2017-08-05 15:00:00,33,False,1165.5877759550267,0.0,0.0,1,0,0,300.0174085303224
2017-08-05 16:00:00,33,False,1038.84479646738,0.0,5299.373379993573,1,0,11,674.5326324284837
2017-08-05 17:00:00,33,False,918.404492376617,0.0,0.0,1,0,0,674.5326324284837
2017-08-05 18:00:00,34,False,799.1169822705966,0.0,0.0,1,0,0,614.8888773754735
